Alpha,N,Success Rate
1,5,0.0
1,10,0.0
1,50,0.0
1,100,0.0
10,5,0.14
10,10,0.2
10,50,0.65
10,100,0.78
100,5,0.19
100,10,0.24
100,50,0.86
100,100,0.96
1000,5,0.19
1000,10,0.24
1000,50,0.88
1000,100,0.97
