Alpha,N,Success Rate
1,5,0.37
1,10,0.64
1,50,0.98
1,100,1.0
10,5,0.46
10,10,0.79
10,50,1.0
10,100,1.0
100,5,0.54
100,10,0.78
100,50,1.0
100,100,1.0
1000,5,0.54
1000,10,0.8
1000,50,0.99
1000,100,1.0
