t,x,val
0.0,0.800000011920929,0.10992256083905261
0.0,0.9000000357627869,0.1641950257921159
0.0,1.0,0.226606442089067
0.0,1.100000023841858,0.2956626210648398
0.0,1.2000000476837158,0.36989840083442066
0.31111109256744385,0.800000011920929,0.09906504142294897
0.31111109256744385,0.9000000357627869,0.15262996783357186
0.31111109256744385,1.0,0.214787192673496
0.31111109256744385,1.100000023841858,0.2834039699453316
0.31111109256744385,1.2000000476837158,0.3578673167969562
0.6222221851348877,0.800000011920929,0.08747971082790505
0.6222221851348877,0.9000000357627869,0.13984627124728344
0.6222221851348877,1.0,0.20121392875862465
0.6222221851348877,1.100000023841858,0.27049973861653936
0.6222221851348877,1.2000000476837158,0.34530218952996544
0.9333332777023315,0.800000011920929,0.07507002419760851
0.9333332777023315,0.9000000357627869,0.12602325329390088
0.9333332777023315,1.0,0.18741632066702632
0.9333332777023315,1.100000023841858,0.25663585573374414
0.9333332777023315,1.2000000476837158,0.33212354294615265
1.2444443702697754,0.800000011920929,0.0616173961334635
1.2444443702697754,0.9000000357627869,0.11019953906232599
1.2444443702697754,1.0,0.17155200914785304
1.2444443702697754,1.100000023841858,0.2410191605765563
1.2444443702697754,1.2000000476837158,0.3168764934085107
1.5555555820465088,0.800000011920929,0.047360837962473895
1.5555555820465088,0.9000000357627869,0.09348620389628888
1.5555555820465088,1.0,0.15449940524395692
1.5555555820465088,1.100000023841858,0.22453346623692633
1.5555555820465088,1.2000000476837158,0.30233208701083764
1.8666666746139526,0.800000011920929,0.03291992774120519
1.8666666746139526,0.9000000357627869,0.07382000909320938
1.8666666746139526,1.0,0.13462499236768813
1.8666666746139526,1.100000023841858,0.2065920432567331
1.8666666746139526,1.2000000476837158,0.28545354579337084
2.1777777671813965,0.800000011920929,0.019583926848565483
2.1777777671813965,0.9000000357627869,0.0513671725240876
2.1777777671813965,1.0,0.11085326873050547
2.1777777671813965,1.100000023841858,0.18545692394687036
2.1777777671813965,1.2000000476837158,0.2665539009244152
2.488888740539551,0.800000011920929,0.009381844347690049
2.488888740539551,0.9000000357627869,0.027253813905174406
2.488888740539551,1.0,0.08069293660730488
2.488888740539551,1.100000023841858,0.1595566779276389
2.488888740539551,1.2000000476837158,0.24513821200025035
2.799999952316284,0.800000011920929,0.0028908820874258678
2.799999952316284,0.9000000357627869,0.006857482060041662
2.799999952316284,1.0,0.041127912387348524
2.799999952316284,1.100000023841858,0.12684541416349693
2.799999952316284,1.2000000476837158,0.2197495074819484
